image_id,prob,label,threshold
00049.png,0.0035667042,0,0.5
00069.png,4.374114e-08,0,0.5
00253.png,2.1716485e-14,0,0.5
00296.png,1.9719039e-06,0,0.5
00305.png,1.2280901e-10,0,0.5
00335.png,2.1531116e-08,0,0.5
00519.png,9.885937e-06,0,0.5
00642.png,2.4279803e-12,0,0.5
00728.png,2.0400427e-07,0,0.5
00771.png,3.3914167e-13,0,0.5
00807.png,9.782712e-15,0,0.5
00820.png,3.8485076e-10,0,0.5
00834.png,7.983771e-09,0,0.5
00880.png,9.76932e-08,0,0.5
01050.png,1.2368897e-09,0,0.5
01167.png,4.1678072e-07,0,0.5
01280.png,4.192398e-12,0,0.5
01557.png,1.7437335e-11,0,0.5
01560.png,1.2000703e-06,0,0.5
01602.png,6.903455e-05,0,0.5
01952.png,1.3622202e-06,0,0.5
02018.png,4.9578412e-09,0,0.5
02022.png,1.3922189e-14,0,0.5
02135.png,5.574985e-09,0,0.5
02313.png,4.6278844e-13,0,0.5
02356.png,4.6430696e-11,0,0.5
02390.png,7.1968614e-05,0,0.5
02423.png,6.467129e-10,0,0.5
02487.png,0.00065138243,0,0.5
02617.png,2.4182864e-10,0,0.5
02909.png,7.857981e-06,0,0.5
02938.png,2.7911032e-05,0,0.5
02976.png,8.450849e-13,0,0.5
03032.png,1.3427841e-10,0,0.5
03127.png,9.542158e-08,0,0.5
03199.png,1.0019221e-12,0,0.5
03294.png,1.0362787e-09,0,0.5
03505.png,1.3282424e-07,0,0.5
03527.png,5.1568802e-14,0,0.5
03634.png,3.4464504e-11,0,0.5
03655.png,1.3057662e-05,0,0.5
03679.png,1.7612495e-10,0,0.5
03693.png,9.094544e-10,0,0.5
03711.png,9.333792e-10,0,0.5
03793.png,1.1927018e-09,0,0.5
03986.png,9.263104e-07,0,0.5
04223.png,2.6559258e-07,0,0.5
04426.png,1.9174542e-09,0,0.5
04576.png,6.583138e-07,0,0.5
04656.png,5.6190576e-11,0,0.5
04828.png,8.9968424e-13,0,0.5
04991.png,1.9831347e-08,0,0.5
05105.png,1.1164096e-17,0,0.5
05148.png,8.7311285e-08,0,0.5
05339.png,7.1613036e-09,0,0.5
05450.png,4.5959864e-10,0,0.5
05454.png,8.8516226e-12,0,0.5
05560.png,1.5833614e-09,0,0.5
05687.png,2.9172135e-08,0,0.5
05830.png,6.4352634e-09,0,0.5
05888.png,2.9720835e-09,0,0.5
05961.png,1.2791447e-10,0,0.5
05970.png,7.3425444e-10,0,0.5
06062.png,5.593559e-06,0,0.5
06142.png,2.1453518e-08,0,0.5
06152.png,2.448493e-09,0,0.5
06154.png,3.669921e-09,0,0.5
06216.png,1.2379652e-06,0,0.5
06430.png,1.8500921e-07,0,0.5
06462.png,4.9509445e-06,0,0.5
06559.png,2.1471835e-10,0,0.5
06720.png,1.6079865e-12,0,0.5
06930.png,8.2932056e-15,0,0.5
07013.png,3.361018e-07,0,0.5
07057.png,2.831235e-10,0,0.5
07091.png,3.115301e-07,0,0.5
07156.png,8.782714e-10,0,0.5
07216.png,3.1401125e-11,0,0.5
07413.png,0.0011931696,0,0.5
07463.png,2.6122002e-09,0,0.5
07543.png,7.5625187e-16,0,0.5
07552.png,8.2329454e-05,0,0.5
07716.png,4.803951e-08,0,0.5
07882.png,1.994973e-06,0,0.5
08071.png,2.6696634e-08,0,0.5
08134.png,6.3996036e-10,0,0.5
08174.png,3.9832068e-16,0,0.5
08243.png,2.9921343e-12,0,0.5
08411.png,9.182277e-08,0,0.5
08556.png,7.557282e-09,0,0.5
08727.png,5.989516e-11,0,0.5
08828.png,1.447912e-12,0,0.5
08949.png,1.6848309e-12,0,0.5
08995.png,1.8278554e-12,0,0.5
09016.png,1.2051932e-11,0,0.5
09253.png,3.543858e-06,0,0.5
09346.png,2.6296763e-17,0,0.5
09372.png,6.046047e-14,0,0.5
09428.png,2.3934733e-15,0,0.5
09829.png,2.1644892e-07,0,0.5
09850.png,7.616522e-10,0,0.5
10104.png,1.769069e-08,0,0.5
10105.png,1.0044995e-12,0,0.5
10123.png,1.27918795e-11,0,0.5
10175.png,1.7225673e-07,0,0.5
10316.png,6.053978e-13,0,0.5
10320.png,1.9698543e-07,0,0.5
10378.png,6.6293896e-06,0,0.5
10386.png,8.348608e-08,0,0.5
10418.png,1.0637222e-13,0,0.5
10492.png,2.9904143e-10,0,0.5
10558.png,6.0756183e-10,0,0.5
10641.png,9.020305e-15,0,0.5
10890.png,3.5071654e-08,0,0.5
11299.png,9.951093e-10,0,0.5
11308.png,4.9019666e-10,0,0.5
11336.png,2.3134149e-14,0,0.5
11347.png,1.2812885e-10,0,0.5
11488.png,0.0032049369,0,0.5
11534.png,7.192536e-18,0,0.5
11735.png,9.683605e-05,0,0.5
11801.png,4.795684e-12,0,0.5
11975.png,5.3286464e-12,0,0.5
12150.png,2.4595461e-11,0,0.5
12307.png,8.305024e-05,0,0.5
12364.png,3.0820622e-15,0,0.5
12455.png,3.1909007e-11,0,0.5
12585.png,6.2397936e-09,0,0.5
12749.png,1.0634637e-07,0,0.5
12892.png,6.311372e-09,0,0.5
12901.png,2.8010274e-17,0,0.5
12966.png,2.1538096e-06,0,0.5
13026.png,3.955121e-08,0,0.5
13281.png,1.5563747e-09,0,0.5
13409.png,4.0595157e-08,0,0.5
13472.png,5.463759e-12,0,0.5
13527.png,9.753827e-07,0,0.5
13761.png,1.907616e-05,0,0.5
13836.png,2.6482413e-08,0,0.5
14005.png,1.482403e-13,0,0.5
14085.png,2.2642759e-07,0,0.5
14444.png,2.29131e-09,0,0.5
14542.png,1.4162475e-08,0,0.5
14651.png,2.6429756e-10,0,0.5
14798.png,1.5886339e-13,0,0.5
14864.png,5.862549e-09,0,0.5
14881.png,8.9826307e-07,0,0.5
15105.png,8.1809445e-13,0,0.5
15133.png,2.9436059e-08,0,0.5
15465.png,6.3945924e-09,0,0.5
15502.png,8.3779106e-08,0,0.5
15599.png,1.6296882e-10,0,0.5
15766.png,2.33988e-11,0,0.5
15825.png,4.6428597e-10,0,0.5
15841.png,3.7942583e-14,0,0.5
15908.png,4.119135e-12,0,0.5
15909.png,1.0319439e-08,0,0.5
15994.png,8.10705e-10,0,0.5
16108.png,4.2683863e-13,0,0.5
16190.png,0.0030320499,0,0.5
16219.png,2.7156698e-06,0,0.5
16329.png,0.11747194,0,0.5
16394.png,3.7226312e-14,0,0.5
16526.png,7.1817184e-11,0,0.5
16670.png,2.1133965e-12,0,0.5
16841.png,2.828184e-11,0,0.5
16996.png,4.1361336e-08,0,0.5
17021.png,1.2298659e-08,0,0.5
17058.png,7.486835e-10,0,0.5
17129.png,1.7955367e-08,0,0.5
17175.png,3.9818137e-06,0,0.5
17241.png,2.1100311e-06,0,0.5
17265.png,2.5457797e-11,0,0.5
17282.png,1.0132913e-13,0,0.5
17289.png,5.9241724e-08,0,0.5
17399.png,1.7670576e-05,0,0.5
17426.png,5.1299542e-09,0,0.5
17566.png,7.828157e-09,0,0.5
17613.png,1.6017536e-09,0,0.5
17680.png,0.0019967298,0,0.5
17808.png,1.1430293e-08,0,0.5
17873.png,1.5168967e-10,0,0.5
17882.png,3.2592377e-12,0,0.5
17978.png,1.3853186e-14,0,0.5
18061.png,8.9958645e-13,0,0.5
18207.png,6.005271e-10,0,0.5
18267.png,6.975629e-12,0,0.5
18560.png,4.6118714e-10,0,0.5
18641.png,1.3307039e-10,0,0.5
18724.png,4.687369e-09,0,0.5
18857.png,1.3116853e-07,0,0.5
19156.png,8.159918e-14,0,0.5
19277.png,3.8044077e-12,0,0.5
19433.png,8.6516016e-13,0,0.5
19449.png,1.6031038e-10,0,0.5
19497.png,1.6134192e-07,0,0.5
19522.png,3.3201033e-07,0,0.5
19766.png,2.7168388e-09,0,0.5
19776.png,1.4371582e-10,0,0.5
19957.png,8.495625e-11,0,0.5
00049.png,0.0031263493,0,0.5
00069.png,0.00011140125,0,0.5
00253.png,0.0011830137,0,0.5
00296.png,0.17569616,0,0.5
00305.png,0.0398618,0,0.5
